#Generated on Thu, 26 Feb 2015 16:08:47 CET 
#Registered probes: 12790
#Connected probes: 7672
#No.:ASN:Holder:Count of registered probes:Count of connected probes:Cumulative probability of connected probes
317:49562:XMS KPN ITNS Services B.V.,NL:4:3:0.6025
318:4812:CHINANET-SH-AP China Telecom (Group),CN:16:3:0.6028
319:6802:UNICOM-B-AS NREN - Bulgaria,BG:3:3:0.6032
320:10091:SCV-AS-AP StarHub Cable Vision Ltd,SG:8:3:0.6036
321:5408:GR-NET Greek Research and Technology Network S.A,GR:3:3:0.6040
322:16242:MHS mhs internet AG,CH:3:3:0.6044
323:46650:ASN1 - Columbus Communications Grenada Ltd.,GD:3:3:0.6048
324:13193:ASN-NERIM Nerim SAS,FR:4:3:0.6052
325:8591:AMIS AMiS,SI:3:3:0.6056
326:8717:SPECTRUMNET MOBILTEL EAD,BG:4:3:0.6060
327:12576:ORANGE-PCS Orange Personal Communications Services,GB:4:3:0.6064
328:201701:FFRL-AS Freifunk Rheinland e.V.,DE:3:3:0.6068
329:198977:UNART UnArtel s.r.o.,CZ:8:3:0.6071
330:327750:JENNY-INTERNET,ZA:3:3:0.6075
331:16019:VODAFONE-CZ-AS Vodafone Czech Republic a.s.,CZ:3:3:0.6079
332:43030:TARENA-AS Tajik National Research Education Network,TJ:3:3:0.6083
333:16342:TOYA Toya sp.z.o.o,PL:6:3:0.6087
334:2519:VECTANT VECTANT Ltd.,JP:4:3:0.6091
335:17746:ORCONINTERNET-NZ-AP Orcon Internet,NZ:3:3:0.6095
336:13189:LIDERO Liden Data Internetwork AB,SE:3:3:0.6099
337:30764:PODA-AS PODA a.s.,CZ:3:3:0.6103
338:3323:NTUA National Technical University of Athens,GR:3:3:0.6107
339:37197:SUDREN,SD:5:3:0.6111
340:199422:REZOPOLE Rezopole A.D.,FR:3:3:0.6114
341:33983:ARTMOTION-AS National IP network of ARTMOTION.Net,RS:3:3:0.6118
342:23674:MBL-AS-AP Micronet Broadband (Pvt) Ltd.,PK:3:3:0.6122
343:12731:IPHH IPHH Internet Port Hamburg GmbH,DE:3:3:0.6126
344:39029:REDPILL-LINPRO Redpill Linpro AS,NO:3:3:0.6130
345:39309:EDUTEL-AS Edutel B.V.,NL:4:3:0.6134
346:6697:BELPAK-AS Republican Unitary Telecommunication Enterprise Beltelecom,BY:13:3:0.6138
347:34533:ESAMARA-AS CJSC "ER-Telecom Holding",RU:6:3:0.6142
348:42313:ALBTELECOM-AS TELECOM ALBANIA,AL:3:3:0.6146
